User,Brand,Variety,Type,Date,Strength,Taste,Price,Rating
ghanta,Marlboro,Reds,Regular,2007-06-21,Medium,Tolerable,Fair,3
Karawasa,Marlboro,Reds,Regular,2007-06-23,Very Strong,Tolerable,Fair,4
Tintedace,Camel,Turkish Gold,Regular,2007-06-23,Medium,Very Poor,High,1
Karawasa,Camel,Turkish Gold,Regular,2007-06-23,Strong,Pleasant,Fair,4
Tintedace,Newport,Full Flavor,Regular,2007-06-23,Medium,Very Pleasant,Fair,5
Karawasa,Marlboro,Blend No. 27,Regular,2007-06-23,Medium,Pleasant,Fair,4
Grimey,Camel,No. 9,Regular,2007-06-23,Strong,Poor,Fair,2
Grimey,Marlboro,Reds,Regular,2007-06-23,Very Strong,Poor,Fair,3
Karawasa,Parliament,Lights (White),Regular,2007-06-23,Medium,Tolerable,Fair,3
twojastrata,paps,none,none,none,none,none,none,4
twojastrata,paps,none,none,none,none,none,none,4
